[2026-07-02 11:12:44.032] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 678.29ms
[2026-07-02 11:12:44.624] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 509.36ms
[2026-07-02 11:12:45.236] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 534.33ms
[2026-07-02 11:12:45.851] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 534.23ms
[2026-07-02 11:12:46.442] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 510.71ms
[2026-07-02 11:12:47.051] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 529.16ms
[2026-07-02 11:12:47.648] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 514.10ms
[2026-07-02 11:14:07.758] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 9737.95ms
[2026-07-02 11:14:07.790] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 28.65ms
[2026-07-02 11:14:07.873] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 26.30ms
[2026-07-02 11:14:07.953] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.67ms
[2026-07-02 11:14:08.033] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.09ms
[2026-07-02 11:14:08.114] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.22ms
[2026-07-02 11:14:08.196] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 28.03ms
[2026-07-02 11:14:08.277] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 27.05ms
[2026-07-02 11:14:08.356] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 24.53ms
[2026-07-02 11:14:08.437] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.44ms
[2026-07-02 11:14:08.518] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 26.49ms
[2026-07-02 11:14:08.598] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.64ms
[2026-07-02 11:14:08.683] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 29.88ms
[2026-07-02 11:14:08.764] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 26.10ms
[2026-07-02 11:14:08.843] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.02ms
[2026-07-02 11:14:08.923] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.54ms
[2026-07-02 11:14:09.004] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.45ms
[2026-07-02 11:14:09.084] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 26.60ms
[2026-07-02 11:14:09.169] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 29.00ms
[2026-07-02 11:14:09.248] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.89ms
[2026-07-02 11:14:09.327] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.50ms
[2026-07-02 11:14:09.408] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 24.85ms
[2026-07-02 11:14:09.487] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.52ms
[2026-07-02 11:14:09.566] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.99ms
[2026-07-02 11:14:09.648] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.85ms
[2026-07-02 11:14:09.727] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 24.70ms
[2026-07-02 11:14:09.807] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.78ms
[2026-07-02 11:14:09.889] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 26.41ms
[2026-07-02 11:14:09.969] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.27ms
[2026-07-02 11:14:10.049] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.90ms
[2026-07-02 11:14:10.129] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 25.48ms
[2026-07-02 11:14:10.279] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 89.25ms
[2026-07-02 11:14:10.418] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 81.46ms
[2026-07-02 11:14:10.559] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 80.51ms
[2026-07-02 11:14:10.702] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 84.68ms
[2026-07-02 11:14:10.843] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 82.61ms
[2026-07-02 11:14:10.984] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 81.17ms
